cve,svn_commit,other_platform_git_commit,github_commit,equivalent_commit
CVE-2014-0073,,,https://github.com/apache/cordova-plugin-inappbrowser/commit/26702cb0720c5c394b407c23570136c53171fa55,
CVE-2014-0075,,,https://github.com/apache/tomcat/commit/f646a5acd5e32d6f5a2d9bf1d94ca66b65477675,svn_1578337==git_f646a5acd5e32d6f5a2d9bf1d94ca66b65477675
CVE-2014-0075,,,https://github.com/apache/tomcat/commit/b6974571c122f6a1e7ec74a90fa212976fa7b0ed,svn_1578341==git_b6974571c122f6a1e7ec74a90fa212976fa7b0ed
CVE-2014-0075,,,https://github.com/apache/tomcat80/commit/d49a03728ac7e3c800b1b0ce0eeccd8a5a21bb91,svn_1578337==git_d49a03728ac7e3c800b1b0ce0eeccd8a5a21bb91
CVE-2014-0075,http://svn.apache.org/viewvc?view=revision&revision=1579262,,,
CVE-2014-0075,http://svn.apache.org/viewvc?view=revision&revision=1578341,,,svn_1578341==git_b6974571c122f6a1e7ec74a90fa212976fa7b0ed
CVE-2014-0075,http://svn.apache.org/viewvc?view=revision&revision=1578337,,,svn_1578337==git_d49a03728ac7e3c800b1b0ce0eeccd8a5a21bb91
CVE-2014-0086,,,https://github.com/richfaces4/core/commit/8131f15003f5bec73d475d2b724472e4b87d0757,git_71687cef6a83f4f9b4430648e4bf06bb7653434b==git_8131f15003f5bec73d475d2b724472e4b87d0757
CVE-2014-0086,,,https://github.com/richfaces/richfaces/commit/807bc411fba070f78c5193cc03d54ab8aa39c36d,
CVE-2014-0086,,,https://github.com/richfaces4/core/commit/71687cef6a83f4f9b4430648e4bf06bb7653434b,git_71687cef6a83f4f9b4430648e4bf06bb7653434b==git_8131f15003f5bec73d475d2b724472e4b87d0757
CVE-2014-0097,,,https://github.com/spring-projects/spring-security/commit/88559882e967085c47a7e1dcbc4dc32c2c796868,
CVE-2014-0097,,,https://github.com/spring-projects/spring-security/commit/a7005bd74241ac8e2e7b38ae31bc4b0f641ef973,
